# SC: 1, 2, 3, 4
# 2008-01-01 00:00 <= date <= 2013-01-01 00:00
# 1.0 < AUX_rmag < 1.16
# Merging intervals if separated by at most 5 mins
# --------
2011-07-25T07:58:00Z,2011-07-25T08:10:00Z
2011-07-27T14:22:00Z,2011-07-27T14:34:00Z
2011-07-29T20:47:00Z,2011-07-29T20:58:00Z
2011-08-01T03:13:00Z,2011-08-01T03:23:00Z
2011-08-03T09:39:00Z,2011-08-03T09:48:00Z
2011-08-05T16:04:00Z,2011-08-05T16:14:00Z
2011-08-07T22:28:00Z,2011-08-07T22:38:00Z
2011-08-10T04:52:00Z,2011-08-10T05:02:00Z
2011-08-12T11:16:00Z,2011-08-12T11:26:00Z
2011-08-14T17:42:00Z,2011-08-14T17:50:00Z
2011-08-17T00:07:00Z,2011-08-17T00:15:00Z
2011-08-19T06:32:00Z,2011-08-19T06:39:00Z
2011-08-21T12:56:00Z,2011-08-21T13:04:00Z
2011-08-23T19:12:00Z,2011-08-23T19:20:00Z
2011-08-26T01:30:00Z,2011-08-26T01:36:00Z
2011-08-28T07:48:00Z,2011-08-28T07:52:00Z
2011-08-30T14:06:00Z,2011-08-30T14:10:00Z
2011-09-01T20:24:00Z,2011-09-01T20:27:00Z
2011-09-04T02:40:00Z,2011-09-04T02:45:00Z
2011-09-06T08:56:00Z,2011-09-06T09:01:00Z
2011-09-08T15:13:00Z,2011-09-08T15:16:00Z
2011-09-17T16:21:00Z,2011-09-17T16:23:00Z
2011-09-19T22:38:00Z,2011-09-19T22:39:00Z
2011-10-03T12:19:00Z,2011-10-03T12:21:00Z
2011-10-14T19:41:00Z,2011-10-14T19:43:00Z
2011-10-17T01:57:00Z,2011-10-17T02:00:00Z
2011-10-19T08:13:00Z,2011-10-19T08:15:00Z
2011-10-26T03:05:00Z,2011-10-26T03:06:00Z
2011-10-28T09:20:00Z,2011-10-28T09:24:00Z
2011-10-30T15:34:00Z,2011-10-30T15:40:00Z
2011-11-01T21:50:00Z,2011-11-01T21:55:00Z
2011-11-04T04:07:00Z,2011-11-04T04:11:00Z
2011-11-06T10:23:00Z,2011-11-06T10:27:00Z
2011-11-08T16:39:00Z,2011-11-08T16:44:00Z
2011-11-10T22:54:00Z,2011-11-10T23:00:00Z
2011-11-13T05:09:00Z,2011-11-13T05:15:00Z
2011-11-15T11:25:00Z,2011-11-15T11:30:00Z
2011-11-17T17:41:00Z,2011-11-17T17:46:00Z
2011-11-19T23:58:00Z,2011-11-20T00:03:00Z
2011-11-22T06:15:00Z,2011-11-22T06:20:00Z
2011-11-24T12:30:00Z,2011-11-24T12:36:00Z
2011-11-26T18:45:00Z,2011-11-26T18:52:00Z
2011-11-29T01:00:00Z,2011-11-29T01:06:00Z
2011-12-01T07:16:00Z,2011-12-01T07:21:00Z
2011-12-03T13:33:00Z,2011-12-03T13:37:00Z
2011-12-05T19:49:00Z,2011-12-05T19:53:00Z
2011-12-08T02:04:00Z,2011-12-08T02:09:00Z
2011-12-10T08:19:00Z,2011-12-10T08:24:00Z
2011-12-12T14:34:00Z,2011-12-12T14:38:00Z
2011-12-14T20:52:00Z,2011-12-14T20:53:00Z
